 CST6CDT, 2022-10-05 22:42:27.210427-05
 Indian/Christmas, 2022-10-06 10:42:27.211358+07
 Indian/Maldives, 2022-10-06 08:42:27.212118+05
 Indian/Mauritius, 2022-10-06 07:42:27.21278+04
 Indian/Kerguelen, 2022-10-06 08:42:27.213538+05
 Indian/Cocos, 2022-10-06 10:12:27.214289+06:30
 Indian/Comoro, 2022-10-06 06:42:27.214991+03
 Indian/Mahe, 2022-10-06 07:42:27.215738+04
 Indian/Antananarivo, 2022-10-06 06:42:27.216576+03
 Indian/Chagos, 2022-10-06 09:42:27.217101+06
 Indian/Mayotte, 2022-10-06 06:42:27.217538+03
 Indian/Reunion, 2022-10-06 07:42:27.21798+04
 Jamaica, 2022-10-05 22:42:27.218422-05
 GB, 2022-10-06 04:42:27.218858+01
 EST5EDT, 2022-10-05 23:42:27.219223-04
 localtime, 2022-10-05 22:42:27.219706-05
 MST7MDT, 2022-10-05 21:42:27.220169-06
 EST, 2022-10-05 22:42:27.220677-05
 PRC, 2022-10-06 11:42:27.221164+08
 posix/CST6CDT, 2022-10-05 22:42:27.221688-05
 posix/Indian/Christmas, 2022-10-06 10:42:27.222105+07
 posix/Indian/Maldives, 2022-10-06 08:42:27.22252+05
 posix/Indian/Mauritius, 2022-10-06 07:42:27.222807+04
 posix/Indian/Kerguelen, 2022-10-06 08:42:27.223007+05
 posix/Indian/Cocos, 2022-10-06 10:12:27.223198+06:30
 posix/Indian/Comoro, 2022-10-06 06:42:27.223393+03
 posix/Indian/Mahe, 2022-10-06 07:42:27.223657+04
 posix/Indian/Antananarivo, 2022-10-06 06:42:27.224068+03
 posix/Indian/Chagos, 2022-10-06 09:42:27.224408+06
 posix/Indian/Mayotte, 2022-10-06 06:42:27.224943+03
 posix/Indian/Reunion, 2022-10-06 07:42:27.225444+04
 posix/Jamaica, 2022-10-05 22:42:27.225938-05
 posix/GB, 2022-10-06 04:42:27.226459+01
 posix/EST5EDT, 2022-10-05 23:42:27.226982-04
 posix/MST7MDT, 2022-10-05 21:42:27.22726-06
 posix/EST, 2022-10-05 22:42:27.227469-05
 posix/PRC, 2022-10-06 11:42:27.22768+08
 posix/Eire, 2022-10-06 04:42:27.227942+01
 posix/Portugal, 2022-10-06 04:42:27.228205+01
 posix/ROK, 2022-10-06 12:42:27.228422+09
 posix/W-SU, 2022-10-06 06:42:27.228636+03
 posix/Hongkong, 2022-10-06 11:42:27.228843+08
 posix/MST, 2022-10-05 20:42:27.229052-07
 posix/GMT0, 2022-10-06 03:42:27.229259+00
 posix/Poland, 2022-10-06 05:42:27.229521+02
 posix/Antarctica/Mawson, 2022-10-06 08:42:27.229771+05
 posix/Antarctica/Syowa, 2022-10-06 06:42:27.229982+03
 posix/Antarctica/McMurdo, 2022-10-06 16:42:27.230228+13
 posix/Antarctica/Vostok, 2022-10-06 09:42:27.230439+06
 posix/Antarctica/Rothera, 2022-10-06 00:42:27.230646-03
 posix/Antarctica/Macquarie, 2022-10-06 14:42:27.230887+11
 posix/Antarctica/Davis, 2022-10-06 10:42:27.231093+07
 posix/Antarctica/Troll, 2022-10-06 05:42:27.231374+02
 posix/Antarctica/Palmer, 2022-10-06 00:42:27.231588-03
 posix/Antarctica/DumontDUrville, 2022-10-06 13:42:27.231795+10
 posix/Antarctica/Casey, 2022-10-06 14:42:27.232021+11
 posix/Antarctica/South_Pole, 2022-10-06 16:42:27.232259+13
 posix/Europe/Paris, 2022-10-06 05:42:27.232508+02
 posix/Europe/Uzhgorod, 2022-10-06 06:42:27.232782+03
 posix/Europe/Lisbon, 2022-10-06 04:42:27.233035+01
 posix/Europe/Warsaw, 2022-10-06 05:42:27.233283+02
 posix/Europe/Saratov, 2022-10-06 07:42:27.233492+04
 posix/Europe/Berlin, 2022-10-06 05:42:27.234002+02
 posix/Europe/Astrakhan, 2022-10-06 07:42:27.234229+04
 posix/Europe/Vaduz, 2022-10-06 05:42:27.234477+02
 posix/Europe/Rome, 2022-10-06 05:42:27.234717+02
 posix/Europe/Ulyanovsk, 2022-10-06 07:42:27.235321+04
 posix/Europe/Riga, 2022-10-06 06:42:27.23563+03
 posix/Europe/Busingen, 2022-10-06 05:42:27.236065+02
